;link;russian_name;original_name;country;film_type;rate
220;kinopoisk.ru/film/252641/;Хранители;Watchmen, 2009;США;фантастика, боевик;8.0
221;kinopoisk.ru/film/681849/;Лучшее предложение;La migliore offerta, 2012;Италия;триллер, драма;8.0
222;kinopoisk.ru/film/263531/;Мстители;Avengers, The, 2012;США;фантастика, боевик;8.0
223;kinopoisk.ru/film/86621/;Бесподобный мистер Фокс;Fantastic Mr. Fox, 2009;США, Великобритания;мультфильм, драма;8.0
224;kinopoisk.ru/film/46368/;Не может быть!;1975;СССР;мелодрама, комедия;8.0
225;kinopoisk.ru/film/4695/;Лицо со шрамом;Scarface, 1983;США;драма, криминал;8.0
226;kinopoisk.ru/film/841081/;Ла-Ла Ленд;La La Land, 2016;США, Гонконг;мюзикл, драма;8.0
227;kinopoisk.ru/film/436263/;Брестская крепость;2010;Беларусь, Россия;военный, боевик;8.0
228;kinopoisk.ru/film/497/;Римские каникулы;Roman Holiday, 1953;США;мелодрама, комедия;8.0
229;kinopoisk.ru/film/406/;Чужие;Aliens, 1986;Великобритания, США;ужасы, фантастика;8.0
230;kinopoisk.ru/film/5492/;Вечное сияние чистого разума;Eternal Sunshine of the Spotless Mind, 2004;США;мелодрама, фантастика;8.0
231;kinopoisk.ru/film/44811/;Кин-дза-дза!;1986;СССР;фантастика, драма;8.0
232;kinopoisk.ru/film/966036/;Скрытые фигуры;Hidden Figures, 2016;США;драма, биография;8.0
233;kinopoisk.ru/film/195434/;Старикам тут не место;No Country for Old Men, 2007;США;триллер, драма;8.0
234;kinopoisk.ru/film/6695/;Звёздные войны: Эпизод 1 – Скрытая угроза;Star Wars: Episode I - The Phantom Menace, 1999;США;фантастика, фэнтези;8.0
235;kinopoisk.ru/film/462606/;Области тьмы;Limitless, 2011;США, Мексика;триллер, драма;8.0
236;kinopoisk.ru/film/84049/;Рапунцель: Запутанная история;Tangled, 2010;США, Германия;мультфильм, мюзикл;8.0
237;kinopoisk.ru/film/662596/;Бойфренд из будущего;About Time, 2013;Великобритания, США;фантастика, фэнтези;8.0
238;kinopoisk.ru/film/41832/;Ковбой Бибоп;Cowboy Bebop: Tengoku no tobira, 2001;Япония;аниме, мультфильм;8.0
239;kinopoisk.ru/film/455194/;Пленницы;Prisoners, 2013;США;триллер, драма;8.0
240;kinopoisk.ru/film/885317/;Ученик чудовища;Bakemono no ko, 2015;Япония;аниме, мультфильм;8.0
